filename,quality,seo,eeat,readability,schema,internal_links,needs_update,is_delete_candidate
2026-06-16-baby-names-born-from-legends-mythological-monikers-for-your-little-hero-or-heroi.md,73.3,90.0,85.0,45.0,0.0,0.0,quality_below_95;eeat_below_90;readability_below_80;schema_below_90,False
2026-06-16-beautiful-baby-girl-names-from-around-the-world.md,75.0,90.0,100.0,35.0,0.0,0.0,quality_below_95;readability_below_80;schema_below_90,False
2026-06-16-biblical-baby-names-timeless-choices-for-modern-parents.md,73.3,90.0,85.0,45.0,0.0,0.0,quality_below_95;eeat_below_90;readability_below_80;schema_below_90,False
2026-06-16-bohemian-baby-names-artistic-flair-for-your-little-free-spirit.md,78.3,90.0,100.0,45.0,0.0,0.0,quality_below_95;readability_below_80;schema_below_90,False
2026-06-16-gender-neutral-baby-names-the-rise-of-modern-flexible-choices.md,78.3,90.0,100.0,45.0,0.0,0.0,quality_below_95;readability_below_80;schema_below_90,False
2026-06-16-musical-baby-names-for-your-little-maestro.md,75.0,90.0,85.0,50.0,0.0,0.0,quality_below_95;eeat_below_90;readability_below_80;schema_below_90,False
2026-06-16-names-with-powerful-meanings-inspire-courage-love-and-wisdom.md,60.22,50.0,55.0,30.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-16-natures-embrace-earthy-botanical-baby-names-for-girls-boys.md,61.56,55.0,55.0,30.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-16-powerful-picks-strong-baby-boy-names-with-profound-meanings.md,62.78,65.0,55.0,30.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-16-short-sweet-discovering-perfect-one-syllable-baby-names.md,61.0,55.0,55.0,30.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-16-the-hottest-picks-trending-baby-names-for-the-current-year.md,65.56,65.0,65.0,45.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,False
2026-06-16-timeless-literary-baby-names-from-classic-novels-1.md,61.11,55.0,55.0,30.0,90.0,80.0,quality_below_95;seo_below_90;eeat_below_90;readability_below_80,True
